id,RA,Dec,Target,Qual,z,z_err,N_lines,features,flag
V03Q3_18,10.717,-9.3585,T,2,0.3841,0,12,e8a4,0
V03Q3_17,10.7137,-9.355,T,2,0.4402,0,11,e8a3,0
V03Q3_16,10.7069,-9.3536,T,2,0.0757,0,6,e5a1,0
V03Q3_22,10.702,-9.3189,T,3,0.4285,0,0,e0a0,0
V03Q3_15,10.6963,-9.2971,A,2,0.0744,0,4,e1a3,0
V03Q3_15,10.6983,-9.2971,T,0,0,0,0,e0a0,0
V03Q3_2,10.6932,-9.3113,T,2,0.399,0.0001,9,e5a4,0
V03Q3_5,10.6856,-9.3197,T,3,0.4977,0,4,e3a1,0
V03Q3_19,10.683,-9.3037,T,2,0.3893,0,12,e9a3,0
V03Q3_4,10.6778,-9.2666,T,2,0.5147,0,10,e7a3,0
V03Q3_20,10.6753,-9.2941,T,2,0.0489,0,9,e9a0,0
V03Q3_21,10.6692,-9.3195,T,2,0.0775,0,8,e8a0,0
V03Q3_6,10.6648,-9.2645,T,2,0.3148,0,11,e8a3,0
V03Q4_12,10.9223,-9.3036,A,2,0.4613,0,9,e5a4,0
V03Q4_12,10.9242,-9.3036,T,0,0,0,0,e0a0,0
V03Q4_24,10.9156,-9.3231,T,2,0.5359,0,6,e1a5,0
V03Q4_9,10.9067,-9.3432,A,2,0.4881,0,6,e2a4,0
V03Q4_9,10.9114,-9.3432,T,3,0.48,0,0,e0a0,0
V03Q4_11,10.9056,-9.2584,T,2,0.5114,0,12,e12a0,0
V03Q4_8,10.8997,-9.2852,T,2,0.2084,0,10,e9a1,0
V03Q4_21,10.7951,-9.7141,T,3,0.0988,0,6,e4a2,0
V03Q4_14,10.8837,-9.2804,T,2,0.0555,0,2,e0a2,0
V03Q4_15,10.8804,-9.3363,T,2,0.3859,0,8,e5a3,0
V03Q4_13,10.8707,-9.3041,T,2,0.2995,0,7,e2a5,0
V03Q4_6,10.8668,-9.29,T,2,0.1851,0,9,e8a1,0
V03Q4_22,10.8628,-9.3352,T,2,0.4809,0,8,e6a2,0
V03Q4_4,10.8561,-9.2847,T,2,0.1886,0,10,e9a1,0
V03Q4_2,10.8495,-9.2596,A,3,0.0199,0,4,e3a1,0
V03Q4_2,10.8519,-9.2596,T,0,0,0,0,e0a0,0
V03Q4_3,10.8449,-9.2797,T,2,0.5685,0,4,e2a2,0
V03Q4_1,10.842,-9.2656,T,2,0.3857,0,16,e16a0,0
V03Q4_18,10.8384,-9.284,T,2,0.4477,0,10,e8a2,0
V03Q4_19,10.8339,-9.2758,T,2,0.5374,0,5,e3a2,0
V03Q4_19,10.8362,-9.2758,A,0,0,0,0,e0a0,0
V03Q4_16,10.8269,-9.272,A,2,0.0785,0,4,e1a3,a
V03Q4_16,10.8286,-9.272,T,0,0,0,0,e0a0,0
V03Q4_23,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V03Q4_23,10.8169,-9.2781,T,2,0.3394,0,8,e3a5,0
V03Q4_17,10.8135,-9.3587,T,2,0.4477,0,5,e5a0,0
V04Q1_5,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q1_5,10.3798,-9.4703,A,2,0.2959,0,14,e10a4,0
V04Q1_5,10.3834,-9.4703,T,3,0.4936,0,4,e4a0,0
V04Q1_19,10.3716,-9.4049,T,2,0.3029,0,12,e10a2,0
V04Q1_17,10.3694,-9.4236,T,2,0.304,0.0001,7,e1a6,0
V04Q1_4,10.3665,-9.4745,T,3,0.5664,0,5,e3a2,a
V04Q1_4,10.3668,-9.4745,A,2,0.5658,0,5,e3a2,0
V04Q1_20,10.3622,-9.3991,T,1,0,0,0,e0a0,0
V04Q1_12,10.3593,-9.4649,T,2,0.2036,0,9,e9a0,0
V04Q1_21,10.354,-9.4579,T,2,0.0958,0,9,e8a1,0
V04Q1_11,10.3484,-9.4719,T,2,0.0956,0,10,e10a0,0
V04Q1_10,10.342,-9.4376,T,2,0.3041,0,11,e7a4,0
V04Q1_3,10.336,-9.5019,T,2,0.3942,0,13,e8a5,0
V04Q1_9,10.3245,-9.4401,T,2,0.4754,0,8,e3a5,0
V04Q1_1,10.3116,-9.3977,A,2,0.5917,0,6,e2a4,a
V04Q1_1,10.3147,-9.3977,T,3,0.3924,0,4,e4a0,0
V04Q1_22,10.3078,-9.4263,T,2,0.5196,0,6,e3a3,0
V04Q1_2,10.3036,-9.4291,T,2,0.1777,0,8,e7a1,0
V04Q1_26,10.2993,-9.4034,T,1,0,0,0,e0a0,0
V04Q1_26,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q1_23,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q1_23,10.2901,-9.4295,T,2,0.398,0.0002,13,e9a4,0
V04Q1_25,10.2844,-9.4882,T,3,0.6526,0,2,e1a1,0
V04Q1_13,10.3205,-9.4011,T,2,0.6567,0,9,e9a0,0
V04Q1_6,10.2762,-9.4117,T,2,0.3924,0,17,e15a2,0
V04Q1_24,10.2737,-9.4081,T,2,0.3971,0,5,e0a5,0
V04Q1_16,10.27,-9.391,T,2,0.4046,0,7,e3a4,0
V04Q2_15,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q2_15,10.2308,-9.3929,T,0,0,0,0,e0a0,0
V04Q2_15,10.2324,-9.3929,A,2,0.5149,0,8,e4a4,a
V04Q2_22,10.2278,-9.415,T,2,0.1602,0,3,e3a0,0
V04Q2_21,10.2233,-9.4182,T,2,0.0481,0,6,e5a1,0
V04Q2_3,10.2185,-9.4779,T,2,0.3647,0,17,e12a5,0
V04Q2_17,10.2134,-9.4931,T,2,1.121,0.0007,4,e2a2,0
V04Q2_20,10.201,-9.4145,T,2,0.6266,0,4,e0a4,0
V04Q2_20,-999.9,-999.9,A,-9,0.434,0.0002,5,e5a0,b
V04Q2_20,10.2039,-9.4145,A,2,0.4591,0,16,e12a4,0
V04Q2_23,10.1915,-9.4574,T,2,0.3843,0,12,e9a3,0
V04Q2_24,10.1889,-9.4074,T,2,0.512,0.0003,7,e4a3,0
V04Q2_2,10.1823,-9.4746,A,2,0.3305,0,10,e5a5,0
V04Q2_2,10.1841,-9.4746,T,3,0.6252,0,4,e2a2,0
V04Q2_14,10.1809,-9.4963,T,2,0.1193,0,6,e5a1,0
V04Q2_4,10.1633,-9.4969,A,2,0.0656,0,7,e7a0,0
V04Q2_4,10.1643,-9.4969,T,2,0.3803,0,10,e5a5,0
V04Q2_11,10.1607,-9.4284,T,2,0.4576,0,11,e9a2,0
V04Q2_27,10.1545,-9.445,T,2,0.2951,0,9,e9a0,0
V04Q2_26,10.1496,-9.3977,T,2,0.5155,0,6,e2a4,0
V04Q2_1,10.1434,-9.4285,T,2,0.3789,0,14,e10a4,0
V04Q2_6,10.1385,-9.4116,T,2,0.3015,0,14,e10a4,0
V04Q2_9,10.1326,-9.4095,T,2,0.3015,0,11,e4a7,0
V04Q2_8,10.1296,-9.458,T,2,0.1232,0,11,e9a2,0
V04Q2_5,10.1272,-9.4209,T,1,0,0,0,e0a0,0
V04Q2_28,10.1247,-9.4025,T,2,0.3025,0,16,e10a6,0
V04Q3_11,10.2218,-9.5849,A,2,0.4553,0,6,e0a6,0
V04Q3_11,10.2256,-9.5849,T,2,0.0556,0,5,e4a1,0
V04Q3_2,10.2195,-9.6784,T,2,0.16,0.0001,7,e7a0,0
V04Q3_10,10.1985,-9.6585,T,2,0.2991,0,9,e5a4,0
V04Q3_9,10.1958,-9.637,T,2,0.2452,0,12,e9a3,0
V04Q3_3,10.1873,-9.5587,T,2,0.2116,0,10,e7a3,0
V04Q3_8,10.1849,-9.6753,T,2,0.2959,0,11,e8a3,0
V04Q3_25,10.1824,-9.662,T,2,0.4037,0,13,e10a3,0
V04Q3_24,10.1761,-9.6013,A,2,0.3789,0,11,e8a3,0
V04Q3_24,10.1799,-9.6013,T,0,0,0,0,e0a0,0
V04Q3_1,10.173,-9.6383,T,3,0.1141,0,2,e1a1,0
V04Q3_5,10.1677,-9.6243,T,2,0.1898,0,11,e11a0,0
V04Q3_7,10.1625,-9.6445,T,2,0.2544,0,8,e6a2,0
V04Q3_17,10.1523,-9.6088,T,2,0.6109,0,4,e1a3,0
V04Q3_23,10.1462,-9.6278,T,3,0.4875,0,7,e3a4,0
V04Q3_18,10.1427,-9.6474,T,3,0.359,0.0001,2,e1a1,0
V04Q3_22,10.1389,-9.6452,T,2,0.4499,0,11,e6a5,0
V04Q3_21,10.134,-9.6199,T,1,0,0,0,e0a0,0
V04Q3_21,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V04Q3_20,10.1258,-9.5917,A,1,0,0,0,e0a0,0
V04Q3_20,10.1296,-9.5917,T,0,0,0,0,e0a0,0
V04Q3_26,10.121,-9.6284,T,2,0.1519,0,10,e9a1,0
V04Q4_7,10.7951,-9.7141,T,2,0.429,0.0002,11,e7a4,0
V04Q4_15,10.3775,-9.5845,T,2,0.397,0.0002,8,e3a5,0
V04Q4_11,10.3685,-9.5964,A,2,0.3923,0,13,e7a6,0
V04Q4_11,10.3725,-9.5964,T,2,0.4811,0,6,e6a0,0
V04Q4_13,10.3665,-9.5678,T,2,0.2324,0,12,e9a3,0
V04Q4_14,10.3606,-9.5935,T,2,0.578,0,5,e5a0,0
V04Q4_17,10.3576,-9.5871,T,2,2.745,0,1,e1a0,0
V04Q4_16,10.352,-9.5682,T,2,0.3989,0,16,e13a3,0
V04Q4_18,10.3466,-9.5625,T,2,0.2784,0,10,e4a6,0
V04Q4_19,10.3432,-9.5944,T,2,0.3918,0,12,e9a3,0
V04Q4_8,10.3223,-9.6112,A,2,0.155,0.0001,6,e4a2,0
V04Q4_8,10.3257,-9.6112,T,0,0,0,0,e0a0,0
V04Q4_8,10.3275,-9.6112,A,0,0,0,0,e0a0,0
V04Q4_9,10.3148,-9.6546,T,2,0.2519,0,9,e4a5,0
V04Q4_1,10.3116,-9.6087,T,2,0.1234,0,7,e7a0,0
V04Q4_10,10.3078,-9.6406,T,2,0.1759,0,4,e0a4,0
V04Q4_5,10.2975,-9.6534,A,2,0.4296,0,14,e9a5,a
V04Q4_5,10.2994,-9.6534,T,0,0,0,0,e0a0,0
V04Q4_2,10.2916,-9.6011,A,2,0.4293,0,7,e4a3,0
V04Q4_2,10.2936,-9.6011,T,0,0,0,0,e0a0,0
V04Q4_21,10.2884,-9.5733,T,2,0.4291,0,17,e16a1,0
V04Q4_4,10.2819,-9.6295,T,2,0.0663,0,3,e0a3,0
V04Q4_23,10.2787,-9.6242,T,3,0.0604,0,2,e0a2,0
V04Q4_3,10.2753,-9.6345,T,2,0.429,0,11,e11a0,0
V05Q1_1,10.5467,-9.4722,T,0,0,0,0,e0a0 ,d
V05Q1_2,10.5625,-9.4745,T,0,0,0,0,e0a0 ,d
V05Q1_3,10.5667,-9.4321,T,0,0,0,0,e0a0 ,d
V05Q1_4,10.5751,-9.4664,T,0,0,0,0,e0a0 ,d
V05Q1_5,10.5835,-9.3991,T,0,0,0,0,e0a0 ,d
V05Q1_6,10.6032,-9.4041,T,0,0,0,0,e0a0 ,d
V05Q1_7,10.6248,-9.4604,T,0,0,0,0,e0a0 ,d
V05Q1_9,10.5793,-9.504,T,0,0,0,0,e0a0 ,d
V05Q1_10,10.615,-9.5071,T,0,0,0,0,e0a0 ,d
V05Q1_12,10.5419,-9.4294,T,0,0,0,0,e0a0 ,d
V05Q1_13,10.5528,-9.4995,T,0,0,0,0,e0a0 ,d
V05Q1_14,10.5941,-9.491,T,0,0,0,0,e0a0 ,d
V05Q1_15,10.5914,-9.5027,T,0,0,0,0,e0a0 ,d
V05Q1_16,10.5883,-9.4016,T,0,0,0,0,e0a0 ,d
V05Q1_18,10.6083,-9.4409,T,0,0,0,0,e0a0 ,d
V05Q1_19,10.62,-9.4831,T,0,0,0,0,e0a0 ,d
V05Q1_20,10.6517,-9.4984,T,0,0,0,0,e0a0 ,d
V05Q1_21,10.633,-9.4447,T,0,0,0,0,e0a0 ,d
V05Q1_22,10.6362,-9.4732,T,0,0,0,0,e0a0 ,d
V05Q1_24,10.643,-9.4784,T,0,0,0,0,e0a0 ,d
V05Q1_25,10.6395,-9.4239,T,0,0,0,0,e0a0 ,d
V05Q1_27,10.6558,-9.4176,T,0,0,0,0,e0a0 ,d
V05Q2_14,-999.9,-999.9,A,-9,0.3136,0.0002,8,e8a0 ,b
V05Q2_14,10.504,-9.458,T,0,0,0,0,e0a0 ,0
V05Q2_14,10.5051,-9.458,A,2,0.3141,0.0001,14,e12a2 ,0
V05Q2_5,10.4959,-9.4137,T,2,0.5711,0.0001,3,e3a0 ,0
V05Q2_13,10.4865,-9.4065,T,1,0,0,0,e0a0 ,0
V05Q2_15,10.4783,-9.4357,T,3,0.0559,0,2,e0a2 ,0
V05Q2_4,10.4751,-9.4659,T,3,0.5794,0.0004,5,e2a3 ,0
V05Q2_16,10.4688,-9.479,T,3,0.4017,0,0,e0a0 ,0
V05Q2_17,10.4658,-9.4627,T,2,0.3134,0.0001,10,e9a1 ,0
V05Q2_23,10.4617,-9.4657,T,2,0.4215,0.0001,11,e11a0 ,0
V05Q2_22,10.4578,-9.4606,T,3,0.1971,0.0002,4,e3a1 ,0
V05Q2_12,10.4543,-9.4686,T,2,0.2035,0,9,e8a1 ,0
V05Q2_19,10.4507,-9.4415,T,3,0.4179,0,0,e0a0 ,0
V05Q2_18,10.4454,-9.4807,T,2,0.4335,0.0003,9,e5a4 ,0
V05Q2_9,10.4365,-9.4943,A,2,0.4431,0.0002,12,e10a2 ,a
V05Q2_9,10.4392,-9.4943,T,3,0.4199,0,0,e0a0 ,0
V05Q2_11,10.4349,-9.4587,T,2,0.4219,0.0001,10,e7a3 ,0
V05Q2_11,-999.9,-999.9,A,-9,0.4236,0.0002,1,e1a0 ,b
V05Q2_24,10.4318,-9.4638,T,2,0.0559,0,2,e0a2 ,0
V05Q2_24,-999.9,-999.9,A,-9,0.2904,0.0001,1,e1a0 ,b
V05Q2_8,10.4162,-9.5072,T,3,0.3092,0.0002,4,e4a0 ,0
V05Q2_8,10.4181,-9.5072,A,2,0.4267,0.0001,11,e9a2 ,0
V05Q2_7,10.4078,-9.4229,T,2,0.1306,0.0001,9,e9a0 ,0
V05Q2_6,10.4033,-9.4507,T,3,0.5384,0.0003,5,e2a3 ,0
V05Q2_3,10.4008,-9.4295,T,2,0.5433,0.0002,5,e4a1 ,0
V05Q2_2,10.3959,-9.4984,T,2,0.3017,0.0001,5,e3a2 ,0
V05Q2_1,10.3919,-9.4337,T,2,0.0559,0,4,e0a4 ,0
V05Q3_14,-999.9,-999.9,A,-9,0,0,0,e0a0 ,b
V05Q3_14,10.504,-9.6526,T,2,0.052,0,6,e4a2 ,0
V05Q3_14,10.5028,-9.6526,A,0,0,0,0,e0a0 ,a
V05Q3_15,10.4959,-9.6462,T,2,0.1544,0.0001,10,e9a1 ,0
V05Q3_7,10.4865,-9.6032,T,2,0.3028,0.0001,11,e8a3 ,0
V05Q3_6,10.4783,-9.6654,T,2,0.3146,0.0002,9,e6a3 ,0
V05Q3_9,10.4751,-9.6569,T,2,0.3132,0.0001,14,e12a2 ,0
V05Q3_10,10.4688,-9.6459,T,2,0.0539,0,10,e10a0 ,0
V05Q3_11,10.4658,-9.6582,T,3,0.0747,0,3,e3a0 ,0
V05Q3_23,-999.9,-999.9,A,-9,0,0,0,e0a0 ,b
V05Q3_23,10.4547,-9.5633,A,2,0.4509,0.0002,8,e8a0 ,0
V05Q3_23,10.4543,-9.5633,T,0,0,0,0,e0a0 ,0
V05Q3_20,10.4507,-9.6028,T,2,0.512,0.0001,6,e6a0 ,0
V05Q3_13,10.4454,-9.6759,T,2,0.436,0.0004,2,e0a2 ,0
V05Q3_21,10.4392,-9.5924,T,2,0.3407,0.0002,10,e8a2 ,0
V05Q3_19,10.4392,-9.6493,T,2,0.0676,0,9,e9a0 ,0
V05Q3_16,10.4349,-9.6186,T,2,0.0762,0,8,e7a1 ,0
V05Q3_18,10.4349,-9.6483,T,2,0.3288,0.0001,5,e0a5 ,0
V05Q3_4,-999.9,-999.9,A,-9,0,0,0,e0a0 ,b
V05Q3_4,10.4318,-9.6597,T,2,0.1514,0.0001,6,e5a1 ,0
V05Q3_5,10.4162,-9.574,T,2,0.4528,0.0001,10,e6a4 ,0
V05Q3_1,10.4162,-9.6309,T,2,0.1544,0,8,e7a1 ,0
V05Q3_3,10.4046,-9.6629,A,2,0.1516,0,10,e9a1 ,0
V05Q3_3,10.4033,-9.6629,T,0,0,0,0,e0a0 ,0
V05Q3_2,10.4008,-9.6151,T,2,0.1874,0.0001,8,e8a0 ,0
V05Q3_17,10.3959,-9.6155,T,2,0.5489,0.0007,2,e0a2 ,0
V05Q4_2,10.6533,-9.6719,T,0,0,0,0,e0a0 ,d
V05Q4_3,10.6456,-9.5963,T,0,0,0,0,e0a0 ,d
V05Q4_4,10.6235,-9.6631,T,0,0,0,0,e0a0 ,d
V05Q4_5,10.6099,-9.6341,T,0,0,0,0,e0a0 ,d
V05Q4_6,10.6155,-9.6227,T,0,0,0,0,e0a0 ,d
V05Q4_8,10.5304,-9.6072,T,0,0,0,0,e0a0 ,d
V05Q4_9,10.6504,-9.6662,T,0,0,0,0,e0a0 ,d
V05Q4_12,10.6062,-9.5941,T,0,0,0,0,e0a0 ,d
V05Q4_13,10.6029,-9.6602,T,0,0,0,0,e0a0 ,d
V05Q4_14,10.5961,-9.5954,T,0,0,0,0,e0a0 ,d
V05Q4_15,10.5875,-9.6438,T,0,0,0,0,e0a0 ,d
V05Q4_16,10.5738,-9.6565,T,0,0,0,0,e0a0 ,d
V05Q4_17,10.5693,-9.5561,T,0,0,0,0,e0a0 ,d
V05Q4_18,10.5576,-9.603,T,0,0,0,0,e0a0 ,d
V05Q4_19,10.5537,-9.6082,T,0,0,0,0,e0a0 ,d
V05Q4_21,10.5416,-9.6364,T,0,0,0,0,e0a0 ,d
V05Q4_22,10.5824,-9.5897,T,0,0,0,0,e0a0 ,d
V05Q4_23,10.6425,-9.6506,T,0,0,0,0,e0a0 ,d
V05Q4_24,10.6305,-9.6181,T,0,0,0,0,e0a0 ,d
V05Q4_25,10.6194,-9.6436,T,0,0,0,0,e0a0 ,d
V05Q4_26,10.5775,-9.644,T,0,0,0,0,e0a0 ,d
V06Q1_12,10.9248,-9.4278,T,2,0.3299,0,14,e13a1,0
V06Q1_25,10.9215,-9.4941,T,2,0.1865,0,4,e1a3,0
V06Q1_18,10.9124,-9.3941,T,0,0,0,0,e0a0,0
V06Q1_18,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V06Q1_19,10.9067,-9.4662,T,0,0,0,0,e0a0,0
V06Q1_17,10.9031,-9.4114,T,2,0.3895,0,7,e7a0,0
V06Q1_14,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V06Q1_14,10.8921,-9.4323,T,2,0.1492,0,8,e8a0,0
V06Q1_15,10.8872,-9.4281,T,0,0,0,0,e0a0,0
V06Q1_8,10.8518,-9.4408,T,0,0,0,0,e0a0,0
V06Q1_4,10.827,-9.417,T,0,0,0,0,e0a0,0
V06Q1_4,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V06Q1_1,10.8154,-9.3953,T,3,0.3907,0,3,e3a0,0
V06Q2_11,10.772,-9.4258,T,2,0.0542,0,3,e0a3,0
V06Q2_11,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V06Q2_12,10.7668,-9.4661,T,2,0.1872,0,3,e0a3,0
V06Q2_14,10.764,-9.4663,T,2,0.1876,0,3,e0a3,0
V06Q2_15,10.7605,-9.4878,T,0,0,0,0,e0a0,0
V06Q2_16,10.7561,-9.4863,T,2,0.2464,0,15,e11a4,0
V06Q2_17,10.747,-9.4007,T,2,0.0752,0,3,e1a2,0
V06Q2_18,10.7409,-9.4618,T,2,0.0846,0,9,e8a1,0
V06Q2_13,10.9874,-9.4054,T,2,0.0958,0,5,e5a0,0
V06Q2_19,10.7313,-9.4986,A,2,0.3936,0,9,e4a5,0
V06Q2_19,10.7328,-9.4986,T,2,0.3936,0,11,e10a1,0
V06Q2_4,10.7301,-9.4486,T,2,0.1863,0,11,e10a1,0
V06Q2_22,10.7168,-9.4863,T,2,0.0956,0,8,e6a2,0
V06Q2_22,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V06Q2_2,10.705,-9.4897,T,2,0.0957,0,4,e3a1,0
V06Q2_3,10.7018,-9.4248,T,2,0.0789,0,7,e6a1,0
V06Q2_24,10.6965,-9.4702,T,2,0.13,0.0001,9,e7a2,0
V06Q2_24,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V06Q2_26,10.6899,-9.4556,T,2,0.0604,0,7,e7a0,0
V06Q2_1,10.6777,-9.4815,T,2,0.0956,0,10,e9a1,0
V06Q2_7,10.675,-9.4675,T,2,1.27,0,3,e1a2,0
V06Q2_6,10.6677,-9.3992,T,2,0.0549,0,3,e0a3,0
V06Q2_27,10.6614,-9.4748,T,2,0.3532,0,14,e11a3,0
V06Q2_27,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V06Q3_23,10.7625,-9.6105,A,2,0.331,0.0002,8,e2a6,0
V06Q3_23,10.7659,-9.6105,T,2,0.3634,0,3,e3a0,0
V06Q3_6,10.7597,-9.6733,T,2,0.4896,0,2,e0a2,0
V06Q3_22,10.7546,-9.6127,T,2,0.4878,0,6,e1a5,0
V06Q3_7,10.748,-9.63,T,2,0.4807,0,7,e3a4,0
V06Q3_9,10.7419,-9.6452,T,2,0.4875,0,5,e0a5,0
V06Q3_25,10.7352,-9.6001,A,2,0.4268,0,4,e0a4,0
V06Q3_25,10.7373,-9.6001,T,0,0,0,0,e0a0,0
V06Q3_10,10.7334,-9.651,T,2,0.1825,0,7,e6a1,0
